,PLAYER,POS,FPTS,VOR,VALUERANK
51,Matt LaCosse,TE,36.35,-71.19999999999999,271.0
99,Jake Kumerow,WR,50.5,-71.4,272.0
55,Jason Witten,TE,35.6,-71.94999999999999,273.5
54,Josh Oliver,TE,35.6,-71.94999999999999,273.5
100,Marquez Valdes-Scantling,WR,49.95,-71.95,275.0
92,Patrick Laird,RB,28.6,-72.0,276.0
53,Jaeden Graham,TE,35.5,-72.05,277.0
93,Malcolm Perry,RB,28.5,-72.1,278.0
89,Corey Clement,RB,27.55,-73.05,279.0
56,Jacob Hollister,TE,34.400000000000006,-73.14999999999999,280.0
57,Marcedes Lewis,TE,34.1,-73.44999999999999,281.0
96,Myles Gaskin,RB,26.55,-74.05,282.0
94,DeeJay Dallas,RB,26.4,-74.19999999999999,283.5
58,James O'Shaughnessy,TE,33.35,-74.19999999999999,283.5
59,Josh Hill,TE,32.3,-75.25,285.0
103,Isaiah Ford,WR,46.5,-75.4,286.0
101,Andy Isabella,WR,46.050000000000004,-75.85,287.0
102,Ricardo Louis,WR,46.05,-75.85000000000001,288.0
95,Mike Boone,RB,24.599999999999998,-76.0,289.0
104,Scott Miller,WR,45.35,-76.55000000000001,290.0
106,Van Jefferson,WR,44.85,-77.05000000000001,291.0
108,Trey Quinn,WR,44.8,-77.10000000000001,292.0
103,CJ Ham,RB,23.45,-77.14999999999999,293.0
97,Jeff Wilson,RB,23.3,-77.3,294.0
98,Ty Montgomery,RB,23.1,-77.5,295.0
99,Andy Janovich,RB,22.700000000000003,-77.89999999999999,296.0
107,Equanimeous St. Brown,WR,43.599999999999994,-78.30000000000001,297.0
60,Garrett Griffin,TE,29.1,-78.44999999999999,298.0
105,Keelan Cole,WR,43.35,-78.55000000000001,299.0
109,Bryan Edwards,WR,43.2,-78.7,300.0
61,Mo Alie-Cox,TE,27.9,-79.65,301.0
100,Karan Higdon,RB,20.6,-80.0,302.0
101,Jordan Wilkins,RB,20.4,-80.19999999999999,303.0
102,Eno Benjamin,RB,20.25,-80.35,304.0
63,Tyler Kroft,TE,27.15,-80.4,305.5
64,Adam Shaheen,TE,27.15,-80.4,305.5
106,Devontae Booker,RB,19.900000000000002,-80.69999999999999,307.0
62,Stephen Sullivan,TE,26.7,-80.85,308.0
110,Jakobi Meyers,WR,41.0,-80.9,309.0
105,Bo Scarbrough,RB,19.2,-81.39999999999999,310.0
104,Kerrith Whyte Jr.,RB,19.05,-81.55,311.0
109,Kalen Ballage,RB,18.9,-81.69999999999999,312.0
107,Jason Huntley,RB,18.85,-81.75,313.0
114,Greg Ward,WR,40.1,-81.80000000000001,314.0
72,Jesper Horsted,TE,25.6,-81.94999999999999,315.0
111,Joe Reed,WR,39.95,-81.95,316.0
108,Dalyn Dawkins,RB,18.35,-82.25,317.0
66,Dalton Schultz,TE,24.95,-82.6,318.0
65,MyCole Pruitt,TE,24.599999999999998,-82.95,319.0
113,Jalen Hurd,WR,38.8,-83.10000000000001,320.0
112,Demarcus Robinson,WR,38.7,-83.2,321.0
67,Foster Moreau,TE,24.200000000000003,-83.35,322.0
68,Kaden Smith,TE,24.15,-83.4,323.0
69,Jake Butt,TE,24.05,-83.5,324.0
70,Nick Vannett,TE,23.799999999999997,-83.75,325.0
110,Dontrell Hilliard,RB,16.45,-84.14999999999999,326.0
71,Harrison Bryant,TE,23.200000000000003,-84.35,327.5
114,Ameer Abdullah,RB,16.25,-84.35,327.5
73,Levine Toilolo,TE,23.15,-84.4,329.0
113,Mike Davis,RB,16.05,-84.55,330.0
76,Josiah Deguara,TE,22.950000000000003,-84.6,331.0
115,Tajae Sharpe,WR,37.0,-84.9,332.0
78,Drew Sample,TE,22.6,-84.94999999999999,333.0
115,Travis Homer,RB,15.6,-85.0,334.0
77,Virgil Green,TE,22.5,-85.05,335.0
111,Peyton Barber,RB,15.5,-85.1,336.0
74,Demetrius Harris,TE,22.3,-85.25,337.5
116,Tyler Johnson,WR,36.65,-85.25,337.5
112,Qadree Ollison,RB,15.25,-85.35,339.0
120,Chester Rogers,WR,35.8,-86.10000000000001,340.0
116,Trayveon Williams,RB,14.45,-86.14999999999999,341.0
118,T.J. Yeldon,RB,14.4,-86.19999999999999,342.0
75,Ricky Seals-Jones,TE,21.3,-86.25,343.5
119,Devine Ozigbo,RB,14.35,-86.25,343.5
80,Adam Trautman,TE,20.8,-86.75,345.0
121,Trent Taylor,WR,35.0,-86.9,346.0
79,Jerell Adams,TE,20.4,-87.15,347.0
121,Alec Ingold,RB,13.25,-87.35,348.0
117,Darius Anderson,RB,13.15,-87.44999999999999,349.0
81,Blake Bell,TE,19.7,-87.85,350.0
120,D'Ernest Johnson,RB,12.399999999999999,-88.19999999999999,351.0
117,Marvin Hall,WR,33.699999999999996,-88.20000000000002,352.0
28,Dwayne Haskins,QB,171.9,-88.49999999999997,353.0
119,Kalif Raymond,WR,33.15,-88.75,354.0
122,Wayne Gallman,RB,11.799999999999999,-88.8,355.0
123,Auden Tate,WR,33.05,-88.85000000000001,356.0
124,Malik Turner,WR,32.7,-89.2,357.0
123,Elijhaa Penny,RB,11.25,-89.35,358.0
125,Khari Blasingame,RB,11.149999999999999,-89.44999999999999,359.0
82,Kahale Warring,TE,18.05,-89.5,360.0
83,Ryan Izzo,TE,17.5,-90.05,361.0
118,Dante Pettis,WR,31.8,-90.10000000000001,362.0
84,Chris Manhertz,TE,17.35,-90.19999999999999,363.0
127,Buddy Howell,RB,10.25,-90.35,364.0
86,Khari Lee,TE,17.1,-90.44999999999999,365.5
124,James Robinson,RB,10.15,-90.44999999999999,365.5
126,Alex Armah,RB,10.049999999999999,-90.55,367.0
134,Patrick Ricard,RB,10.0,-90.6,368.0
122,Cordarrelle Patterson,WR,31.15,-90.75,369.5
130,Derek Watt,RB,9.85,-90.75,369.5
85,Deon Yelder,TE,16.75,-90.8,371.0
87,Jordan Thomas,TE,16.45,-91.1,372.0
125,J.J. Arcega-Whiteside,WR,30.599999999999998,-91.30000000000001,373.0
132,Wendell Smallwood,RB,9.25,-91.35,374.0
128,JaMycal Hasty,RB,9.05,-91.55,375.0
88,Brycen Hopkins,TE,15.95,-91.6,376.0
135,Bobby Holly,RB,8.899999999999999,-91.69999999999999,377.0
129,Jordan Scarlett,RB,8.65,-91.94999999999999,378.5
131,Ty Johnson,RB,8.65,-91.94999999999999,378.5
92,Troy Fumagalli,TE,15.200000000000001,-92.35,380.0
89,Derek Carrier,TE,15.1,-92.45,381.0
126,Rashard Higgins,WR,29.4,-92.5,382.0
90,Pharaoh Brown,TE,15.0,-92.55,383.0
133,Rod Smith,RB,7.95,-92.64999999999999,384.0
137,Kenneth Dixon,RB,7.8500000000000005,-92.75,385.0
138,Keith Smith,RB,7.75,-92.85,386.0
140,Anthony Sherman,RB,7.699999999999999,-92.89999999999999,387.0
91,Codey McElroy,TE,14.6,-92.95,388.0
95,Eric Tomlinson,TE,14.5,-93.05,389.0
98,Joshua Perkins,TE,14.399999999999999,-93.15,390.5
93,Albert Okwuegbunam,TE,14.399999999999999,-93.15,390.5
136,Rodney Anderson,RB,7.4,-93.19999999999999,392.0
94,Donald Parham,TE,14.2,-93.35,393.0
142,Patrick DiMarco,RB,7.1,-93.5,394.5
139,Tyler Ervin,RB,7.1,-93.5,394.5
143,Andrew Beck,RB,7.050000000000001,-93.55,396.0
99,J.P. Holtz,TE,13.85,-93.7,397.0
96,Tanner Hudson,TE,13.799999999999999,-93.75,398.0
97,Charlie Woerner,TE,13.75,-93.8,399.0
148,Roosevelt Nix,RB,6.199999999999999,-94.39999999999999,400.0
141,John Kelly,RB,6.1499999999999995,-94.44999999999999,401.0
147,Nick Bellore,RB,5.95,-94.64999999999999,402.5
101,Durham Smythe,TE,12.9,-94.64999999999999,402.5
100,Luke Stocker,TE,12.899999999999999,-94.65,404.5
130,Javon Wims,WR,27.25,-94.65,404.5
131,Geremy Davis,WR,27.05,-94.85000000000001,406.0
144,Taiwan Jones,RB,5.7,-94.89999999999999,407.0
128,Dontrelle Inman,WR,26.85,-95.05000000000001,408.0
129,Laquon Treadwell,WR,26.6,-95.30000000000001,409.0
146,Senorise Perry,RB,5.05,-95.55,410.5
151,Michael Burton,RB,5.050000000000001,-95.55,410.5
145,Trey Edmunds,RB,4.7,-95.89999999999999,412.0
149,Josh Adams,RB,4.65,-95.94999999999999,413.0
132,Riley Ridley,WR,25.950000000000003,-95.95,414.0
150,Jakob Johnson,RB,4.6000000000000005,-96.0,415.0
102,Tommy Sweeney,TE,11.45,-96.1,416.0
103,Tyler Conklin,TE,11.35,-96.2,417.0
127,Richie James,WR,25.650000000000002,-96.25,418.0
133,Gary Jennings Jr.,WR,25.6,-96.30000000000001,419.0
175,Nick Bawden,RB,4.25,-96.35,420.5
154,J.J. Taylor,RB,4.25,-96.35,420.5
152,Wes Hills,RB,4.05,-96.55,422.0
105,Richard Rodgers,TE,10.75,-96.8,423.0
155,Dwayne Washington,RB,3.75,-96.85,424.0
